Season,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1987-1988,"Charles Oakley",PF,24,CHI,82,2816,15.40,0.5430,0.0150,0.4630,13.40,30.00,21.70,12.00,1.20,0.60,20.50,17.90,2.00,4.70,6.70,0.1140,-0.5000,-0.1000,-0.6000,1.0000
1988-1989,"Charles Oakley",PF,25,NYK,82,2604,14.80,0.5600,0.0570,0.3050,14.30,22.70,18.40,9.30,1.80,0.30,20.70,17.80,2.50,3.30,5.70,0.1060,0.1000,-0.5000,-0.4000,1.0000
1989-1990,"Charles Oakley",PF,26,NYK,61,2196,15.90,0.5800,0.0050,0.4450,13.40,23.00,18.40,9.30,1.40,0.40,17.70,17.60,3.20,2.10,6.00,0.1310,0.3000,-0.6000,-0.3000,0.9000
1982-1983,"Charles Pittman",PF,24,PHO,28,170,6.80,0.5600,0.0250,0.9250,8.80,11.20,10.10,5.20,0.60,2.30,28.10,18.80,-0.10,0.20,0.10,0.0320,-5.6000,-0.2000,-5.8000,-0.2000
1983-1984,"Charles Pittman",PF,25,PHO,69,989,11.30,0.6330,0.0100,0.4830,8.90,16.40,12.70,8.80,0.80,1.30,24.20,13.90,0.80,0.90,1.70,0.0810,-1.4000,-0.2000,-1.7000,0.1000
1984-1985,"Charles Pittman",SF,26,PHO,68,1001,9.10,0.5550,0.0090,0.6430,10.30,15.30,12.80,8.90,0.90,1.20,25.60,15.90,-0.10,1.00,0.90,0.0440,-3.7000,-0.5000,-4.2000,-0.5000
1985-1986,"Charles Pittman",PF,27,PHO,69,1132,10.30,0.6300,0.0000,0.6470,10.50,14.30,12.50,6.60,1.50,1.10,27.60,13.60,0.40,1.10,1.50,0.0650,-2.1000,0.1000,-2.1000,0.0000
1988-1989,"Charles Shackleford",C,22,NJN,60,484,13.90,0.5010,0.0060,0.2500,11.10,24.40,17.60,6.50,1.50,2.20,12.60,18.10,0.20,0.60,0.80,0.0760,-2.4000,-0.5000,-2.9000,-0.1000
1989-1990,"Charles Shackleford",C,23,NJN,70,1557,12.30,0.4890,0.0020,0.2150,11.50,21.80,16.30,5.60,1.20,1.30,16.50,18.10,-0.30,2.10,1.50,0.0460,-2.7000,-0.9000,-3.6000,-0.6000
1989-1990,"Charles Smith",PG,22,BOS,60,519,13.30,0.5140,0.0530,0.5710,3.10,11.10,7.30,25.10,3.30,0.30,17.80,16.40,0.40,2.10,1.10,0.1020,-2.5000,1.8000,-0.8000,0.2000
