Player,Pos,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,2P%,eFG%,FT%,Season,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Detlef Schrempf,PF,26,TOT,69,26.8,12.0,5.7,2.6,0.8,0.3,1.9,0.474,0.2,0.492,0.48,0.78,1988-1989,15.3,0.566,19.9,2.9,1.5,4.4,0.113,0.3,-0.2,0.0,0.9
Detlef Schrempf,PF,26,DAL,37,22.8,9.5,4.5,2.3,0.6,0.2,1.5,0.426,0.125,0.445,0.43,0.789,1988-1989,13.8,0.529,20.0,1.0,0.8,1.7,0.098,-1.2,-0.3,-1.4,0.1
Detlef Schrempf,PF,26,IND,32,31.4,14.8,7.2,2.9,0.9,0.3,2.4,0.514,0.263,0.53,0.522,0.772,1988-1989,16.5,0.596,19.8,1.9,0.7,2.6,0.125,1.5,-0.2,1.3,0.8
Byron Scott,SG,27,LAL,74,35.2,19.6,4.1,3.1,1.5,0.4,2.1,0.491,0.399,0.508,0.523,0.863,1988-1989,16.6,0.558,23.1,4.1,2.6,6.8,0.125,1.1,-0.1,1.0,1.9
Rony Seikaly,C,23,MIA,78,25.2,10.9,7.0,0.7,0.6,1.2,2.6,0.448,0.25,0.449,0.448,0.511,1988-1989,10.8,0.471,22.8,-2.7,2.2,-0.5,-0.012,-4.4,-1.3,-5.8,-1.9
Brad Sellers,PF,26,CHI,80,21.7,6.9,2.8,1.2,0.4,0.9,0.9,0.485,0.5,0.485,0.488,0.851,1988-1989,10.6,0.529,14.7,1.3,1.4,2.6,0.073,-1.6,-0.1,-1.7,0.1
Brian Shaw,SG,22,BOS,82,28.1,8.6,4.6,5.8,1.0,0.3,2.3,0.433,0.0,0.441,0.433,0.826,1988-1989,12.2,0.472,16.8,0.5,1.7,2.2,0.046,-0.6,0.0,-0.7,0.8
Purvis Short,SF,31,HOU,65,17.8,7.4,2.8,1.6,0.7,0.2,1.1,0.413,0.273,0.423,0.422,0.865,1988-1989,11.4,0.464,20.5,0.0,1.4,1.4,0.058,-2.0,0.1,-1.9,0.0
Jerry Sichting,PG,32,POR,25,15.6,4.1,1.2,2.4,0.6,0.0,1.0,0.442,0.25,0.467,0.457,0.875,1988-1989,8.8,0.474,13.1,0.0,0.2,0.2,0.03,-2.3,-0.8,-3.1,-0.1
Jack Sikma*,C,33,MIL,80,32.3,13.4,7.8,3.6,1.1,0.8,1.8,0.431,0.38,0.449,0.48,0.905,1988-1989,15.8,0.554,17.8,4.5,3.7,8.1,0.151,1.5,1.4,2.8,3.2
Scott Skiles,PG,24,IND,80,19.6,6.8,1.9,4.9,0.8,0.0,2.2,0.448,0.267,0.485,0.471,0.903,1988-1989,12.5,0.54,18.2,0.5,0.8,1.3,0.04,-0.6,-1.2,-1.7,0.1
Charles Smith,PF,23,LAC,71,30.4,16.3,6.5,1.5,1.0,1.3,2.1,0.495,,0.497,0.495,0.725,1988-1989,15.6,0.55,21.8,2.4,1.6,4.0,0.089,-0.8,-0.9,-1.7,0.2
Derek Smith,SG,27,TOT,65,19.9,8.7,2.6,2.0,0.7,0.4,1.4,0.435,0.226,0.449,0.443,0.686,1988-1989,11.7,0.491,21.2,0.2,0.7,0.9,0.033,-2.0,-0.8,-2.8,-0.3
Derek Smith,SG,27,SAC,29,20.7,10.0,2.8,2.1,0.7,0.3,1.5,0.402,0.2,0.414,0.408,0.674,1988-1989,11.3,0.455,24.7,-0.4,0.4,0.0,-0.002,-2.7,-1.5,-4.2,-0.3
Derek Smith,SG,27,PHI,36,19.3,7.8,2.4,1.9,0.7,0.4,1.2,0.477,0.25,0.495,0.486,0.699,1988-1989,12.0,0.535,18.2,0.6,0.3,0.9,0.063,-1.4,-0.2,-1.6,0.1
Kenny Smith,PG,23,SAC,81,38.8,17.3,2.8,7.7,1.3,0.1,3.1,0.462,0.359,0.475,0.482,0.737,1988-1989,14.3,0.523,20.7,2.8,1.3,4.1,0.062,0.1,-1.6,-1.4,0.4
Larry Smith,PF,31,GSW,80,23.7,5.7,8.2,1.5,0.8,0.7,1.4,0.552,,0.552,0.552,0.31,1988-1989,11.9,0.54,10.6,1.4,2.3,3.7,0.094,-1.5,-0.1,-1.6,0.2
Otis Smith,SG,25,GSW,80,20.0,10.0,4.1,1.8,1.1,0.5,1.6,0.435,0.189,0.448,0.44,0.798,1988-1989,14.8,0.495,22.3,0.7,1.8,2.5,0.074,-0.7,-0.1,-0.9,0.4
Rik Smits,C,22,IND,82,24.9,11.7,6.1,0.9,0.5,1.8,1.6,0.517,,0.518,0.517,0.722,1988-1989,15.6,0.557,20.3,2.4,1.9,4.3,0.101,-0.9,0.2,-0.8,0.6
Rory Sparrow,PG,30,MIA,80,32.7,12.5,2.7,5.4,1.3,0.2,2.6,0.452,0.243,0.469,0.461,0.879,1988-1989,11.7,0.486,19.2,0.0,1.6,1.6,0.029,-1.5,-0.8,-2.3,-0.2
John Stockton*,PG,26,UTA,82,38.7,17.1,3.0,13.6,3.2,0.2,3.8,0.538,0.242,0.561,0.547,0.863,1988-1989,22.9,0.624,19.1,9.8,5.8,15.6,0.236,5.1,3.2,8.3,8.3
Rod Strickland,PG,22,NYK,81,16.8,8.9,2.0,3.9,1.2,0.0,1.8,0.467,0.322,0.484,0.484,0.745,1988-1989,18.0,0.539,23.3,2.2,1.5,3.7,0.131,1.7,0.4,2.2,1.4
Jon Sundvold,SG,27,MIA,68,19.7,10.4,1.3,2.0,0.4,0.0,1.3,0.455,0.522,0.444,0.49,0.825,1988-1989,12.6,0.506,23.9,0.6,0.4,1.0,0.037,-0.1,-2.2,-2.3,-0.1
Anthony Taylor,PG,23,MIA,21,17.5,6.9,1.6,2.0,1.0,0.2,1.0,0.397,0.0,0.403,0.397,0.75,1988-1989,11.1,0.436,20.4,-0.1,0.3,0.2,0.029,-2.9,0.7,-2.1,0.0
Terry Teagle,SF,28,GSW,66,23.8,15.2,4.0,1.5,1.2,0.3,1.8,0.476,0.167,0.481,0.477,0.809,1988-1989,16.7,0.523,25.9,1.7,1.4,3.1,0.095,-0.3,-1.0,-1.3,0.3
Reggie Theus,SG,31,ATL,82,30.7,15.8,3.0,4.7,1.3,0.2,2.4,0.466,0.293,0.476,0.474,0.851,1988-1989,16.1,0.534,22.8,3.9,2.0,5.9,0.113,0.8,-0.3,0.6,1.6
Isiah Thomas*,PG,27,DET,80,36.6,18.2,3.4,8.3,1.7,0.3,3.7,0.464,0.273,0.485,0.477,0.818,1988-1989,17.1,0.528,24.6,3.1,3.9,7.0,0.115,2.0,0.6,2.6,3.4
Billy Thompson,SF,25,MIA,79,28.8,10.8,7.2,2.2,0.7,1.3,2.4,0.487,0.0,0.49,0.487,0.696,1988-1989,13.4,0.524,17.9,0.6,2.3,2.8,0.06,-1.4,0.2,-1.3,0.4
LaSalle Thompson,C,27,TOT,76,30.6,13.9,9.4,1.1,1.0,1.2,2.4,0.489,,0.49,0.489,0.808,1988-1989,15.6,0.544,20.4,1.5,2.9,4.4,0.09,-1.1,-0.3,-1.4,0.4
LaSalle Thompson,C,27,SAC,43,29.7,15.0,9.1,1.0,1.1,1.3,2.7,0.461,,0.462,0.461,0.809,1988-1989,15.6,0.522,23.6,0.1,1.7,1.7,0.065,-2.0,-0.5,-2.5,-0.2
LaSalle Thompson,C,27,IND,33,31.9,12.5,9.9,1.1,1.0,1.2,1.9,0.538,,0.538,0.538,0.806,1988-1989,15.5,0.582,16.6,1.4,1.2,2.6,0.12,0.0,-0.1,0.0,0.5
Mychal Thompson,C,34,LAL,80,24.9,9.2,5.8,0.6,0.7,0.7,1.2,0.559,,0.56,0.559,0.678,1988-1989,13.3,0.593,14.9,2.8,2.4,5.2,0.126,-0.8,-0.1,-1.0,0.5
Otis Thorpe,PF,26,HOU,82,38.2,16.7,9.6,2.5,1.0,0.5,2.7,0.542,,0.543,0.542,0.729,1988-1989,15.4,0.591,17.7,4.6,4.1,8.7,0.133,0.5,0.1,0.6,2.1
Sedale Threatt,PG,27,SEA,63,19.4,8.6,1.9,3.8,1.3,0.1,1.2,0.494,0.367,0.502,0.505,0.818,1988-1989,16.3,0.533,19.2,2.3,1.2,3.4,0.135,0.2,1.1,1.3,1.0
Wayman Tisdale,PF,24,TOT,79,30.8,17.5,7.7,1.6,0.7,0.7,2.2,0.514,0.0,0.516,0.514,0.773,1988-1989,17.5,0.568,23.7,3.9,2.0,5.9,0.117,0.6,-0.7,-0.1,1.2
Wayman Tisdale,PF,24,IND,48,27.6,16.0,6.5,1.6,0.7,0.7,2.2,0.505,0.0,0.509,0.505,0.792,1988-1989,17.3,0.57,24.6,2.1,1.1,3.1,0.113,0.5,-0.5,0.0,0.7
Wayman Tisdale,PF,24,SAC,31,35.7,19.8,9.6,1.7,0.6,0.6,2.1,0.523,,0.523,0.523,0.744,1988-1989,17.8,0.565,22.5,1.8,1.0,2.8,0.12,0.6,-0.9,-0.3,0.5
Kelly Tripucka,SF,29,CHH,71,32.4,22.6,3.8,3.2,1.2,0.2,3.3,0.467,0.357,0.476,0.48,0.866,1988-1989,17.7,0.558,29.8,2.4,0.9,3.3,0.069,1.5,-1.3,0.2,1.3
Trent Tucker,SG,29,NYK,81,22.5,8.5,2.2,1.6,1.1,0.1,0.7,0.454,0.399,0.512,0.556,0.782,1988-1989,12.1,0.569,14.1,3.2,1.5,4.6,0.122,0.7,0.7,1.4,1.6
Elston Turner,SF,29,DEN,78,22.4,4.3,3.7,1.8,1.2,0.1,0.8,0.428,0.286,0.431,0.431,0.589,1988-1989,7.8,0.446,9.6,0.2,1.9,2.1,0.056,-3.0,0.9,-2.1,0.0
Terry Tyler,SF,32,DAL,70,15.1,5.5,3.0,0.6,0.3,0.6,0.7,0.469,0.111,0.479,0.471,0.758,1988-1989,12.3,0.498,17.9,0.2,1.0,1.2,0.055,-1.9,-0.4,-2.3,-0.1
Kelvin Upshaw,SG,26,TOT,32,19.3,6.8,1.5,3.7,0.8,0.1,1.7,0.467,0.2,0.487,0.474,0.692,1988-1989,10.3,0.49,18.6,-0.1,0.4,0.3,0.021,-2.8,-0.7,-3.5,-0.2
Kelvin Upshaw,SG,26,BOS,23,20.6,7.0,1.6,4.2,0.8,0.1,1.8,0.49,0.2,0.511,0.497,0.7,1988-1989,10.9,0.513,17.6,0.1,0.3,0.4,0.036,-2.2,-0.4,-2.5,-0.1
Kiki Vandeweghe,PF,30,TOT,45,20.8,11.1,1.6,1.5,0.4,0.2,0.9,0.469,0.396,0.479,0.492,0.899,1988-1989,13.7,0.536,20.9,1.6,0.4,2.0,0.105,0.1,-1.8,-1.7,0.1
Kiki Vandeweghe,PF,30,NYK,27,18.6,9.2,1.3,1.3,0.4,0.3,0.9,0.464,0.3,0.472,0.471,0.911,1988-1989,13.0,0.531,19.8,0.8,0.2,1.0,0.099,-0.5,-1.4,-1.9,0.0
Jay Vincent,SF,29,TOT,29,22.3,8.6,3.8,0.9,0.2,0.1,1.4,0.405,0.333,0.406,0.407,0.667,1988-1989,7.0,0.439,19.5,-0.6,0.3,-0.3,-0.024,-4.4,-2.4,-6.8,-0.8
Jay Vincent,SF,29,SAS,24,23.0,9.0,3.8,0.9,0.2,0.1,1.5,0.416,,0.417,0.416,0.686,1988-1989,7.4,0.449,19.6,-0.4,0.2,-0.2,-0.018,-4.0,-2.6,-6.6,-0.6
Sam Vincent,PG,25,CHI,70,24.3,9.4,2.7,4.8,0.8,0.1,2.0,0.484,0.118,0.495,0.486,0.822,1988-1989,13.6,0.527,19.3,1.0,1.3,2.3,0.065,-0.6,-0.8,-1.4,0.3
Darrell Walker,PG,27,WSB,79,32.5,9.0,6.4,6.3,2.0,0.3,2.3,0.42,0.0,0.426,0.42,0.772,1988-1989,13.4,0.469,14.8,0.5,3.3,3.7,0.07,-1.1,1.9,0.9,1.8
Pearl Washington,PG,25,MIA,54,19.7,7.6,2.3,4.2,1.4,0.1,2.3,0.424,0.071,0.437,0.425,0.788,1988-1989,13.0,0.475,21.2,-0.6,1.0,0.5,0.021,-1.3,0.2,-1.1,0.3
Spud Webb,PG,25,ATL,81,15.0,3.9,1.5,3.5,0.9,0.1,1.0,0.459,0.045,0.493,0.46,0.867,1988-1989,13.0,0.504,13.3,0.9,1.3,2.2,0.088,-0.7,1.1,0.4,0.7
Bill Wennington,C,25,DAL,65,16.5,4.6,4.4,0.7,0.2,0.5,0.8,0.433,0.111,0.444,0.435,0.744,1988-1989,8.8,0.482,14.7,0.0,1.2,1.3,0.056,-4.9,0.1,-4.9,-0.8
Mark West,C,28,PHO,82,24.6,7.2,6.7,0.5,0.4,2.3,1.3,0.653,,0.653,0.653,0.535,1988-1989,12.9,0.644,11.1,2.2,3.3,5.5,0.131,-1.1,2.1,1.0,1.5
Dominique Wilkins*,SF,29,ATL,80,37.5,26.2,6.9,2.6,1.5,0.7,2.3,0.464,0.276,0.475,0.472,0.844,1988-1989,21.8,0.528,29.4,7.5,2.9,10.4,0.166,4.5,-1.1,3.4,4.1
Gerald Wilkins,SG,25,NYK,81,29.8,14.3,3.0,3.4,1.4,0.3,2.1,0.451,0.297,0.482,0.476,0.756,1988-1989,13.8,0.512,20.9,2.4,1.9,4.3,0.086,0.1,-0.3,-0.2,1.1
Buck Williams,PF,28,NJN,74,33.1,13.0,9.4,1.1,0.8,0.5,1.9,0.531,,0.534,0.531,0.666,1988-1989,14.6,0.569,16.5,3.0,2.1,5.2,0.101,-0.5,-0.8,-1.2,0.5
Herb Williams,C,30,TOT,76,32.5,10.2,7.8,1.6,0.6,1.8,2.0,0.436,0.0,0.439,0.436,0.686,1988-1989,10.6,0.471,16.6,-1.2,2.6,1.4,0.027,-2.7,0.4,-2.3,-0.2
Herb Williams,C,30,IND,46,34.1,12.6,8.6,1.9,0.7,1.7,2.3,0.45,0.0,0.453,0.45,0.714,1988-1989,11.8,0.484,18.8,-0.6,1.6,0.9,0.029,-2.1,0.4,-1.8,0.1
Herb Williams,C,30,DAL,30,30.1,6.6,6.6,1.2,0.5,1.8,1.4,0.396,0.0,0.4,0.396,0.632,1988-1989,8.6,0.438,12.8,-0.6,1.0,0.5,0.025,-3.6,0.5,-3.1,-0.3
Hot Rod Williams,PF,26,CLE,82,25.9,11.6,5.8,1.3,0.9,1.6,1.2,0.509,,0.51,0.509,0.748,1988-1989,17.6,0.566,18.8,3.8,3.8,7.7,0.173,0.7,1.5,2.2,2.3
John Williams,SF,22,WSB,82,29.4,13.7,7.0,4.3,1.7,0.9,1.9,0.466,0.268,0.482,0.476,0.776,1988-1989,18.8,0.525,20.4,3.3,3.5,6.9,0.136,2.4,2.2,4.6,4.0
