"Player","Seasons","Teams","PTS","TRB","AST","STL","BLK","PER","TS%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"Louis Orr",7,2,10.1285714285714,3.84285714285714,1.57142857142857,0.828571428571429,0.3,13.4142857142857,0.526,18.8142857142857,1.81428571428571,1.91428571428571,3.7,0.094,-0.0285714285714286,-0.271428571428571,-0.328571428571429,0.814285714285714
"Eddie Johnson",10,7,16.0388888888889,3.44444444444444,3.95555555555556,0.75,0.133333333333333,15.4333333333333,0.525166666666667,24.3777777777778,2.42777777777778,1.28888888888889,3.67777777777778,0.0821666666666667,1.06111111111111,-1.67222222222222,-0.638888888888889,0.827777777777778
"Dave Greenwood",9,4,9.63636363636364,7.90909090909091,1.96363636363636,0.745454545454545,0.836363636363636,12.8090909090909,0.520818181818182,15.5,1.61818181818182,2.03636363636364,3.63636363636364,0.0857272727272727,-1.32727272727273,-0.0090909090909091,-1.32727272727273,0.554545454545454
"Blair Rasmussen",4,1,10.55,5.7,0.85,0.375,0.9,14.775,0.51225,20.625,1.675,1.75,3.625,0.10375,-1.5,-1.125,-2.55,-0.15
"T.R. Dunn",8,1,5.25,5.1,1.925,1.55,0.2875,9.9,0.50525,8.4375,1.7875,1.8375,3.625,0.079,-1.125,1.0125,-0.0875,1.075
"Kurt Rambis",8,4,6.08888888888889,6.73333333333333,1.22222222222222,1.05555555555556,0.622222222222222,12.8111111111111,0.573777777777778,12.3,1.22222222222222,2.28888888888889,3.62222222222222,0.111333333333333,-1.11111111111111,1.16666666666667,0.0444444444444444,0.844444444444444
"Allen Leavell",7,1,10.1714285714286,1.67142857142857,5.07142857142857,1.41428571428571,0.157142857142857,14.8428571428571,0.522142857142857,19.1,2.01428571428571,1.6,3.61428571428571,0.0958571428571429,0.128571428571429,0.3,0.442857142857143,1.21428571428571
"Detlef Schrempf",5,3,10.9285714285714,5.07142857142857,2.32857142857143,0.657142857142857,0.257142857142857,14.5714285714286,0.559142857142857,19.7714285714286,2.4,1.22857142857143,3.6,0.107142857142857,-0.142857142857143,-0.3,-0.442857142857143,0.714285714285714
"Danny Schayes",8,3,10.15,6.48,1.6,0.6,0.99,14.02,0.5751,17.78,1.78,1.83,3.58,0.1055,-1.83,-0.11,-1.93,0.09
"Trent Tucker",8,1,8.7875,2.175,2.1875,0.9875,0.125,12.9625,0.524125,17.425,1.9875,1.6625,3.5625,0.104375,0.025,0.725,0.7375,1.1125
"Ron Anderson",3,3,11.925,4.125,1.925,0.85,0.175,14.425,0.5155,20,2.125,1.475,3.55,0.08775,0.175,-0.8,-0.625,0.6
"Terry Tyler",9,3,9.51111111111111,4.76666666666667,1.15555555555556,0.833333333333333,1.3,14.2,0.510333333333333,17.8777777777778,1.45555555555556,2.11111111111111,3.54444444444444,0.0864444444444444,-0.455555555555555,0.6,0.122222222222222,1.15555555555556
"Benoit Benjamin",5,1,13.1,8.36,1.94,0.78,2.8,15.38,0.5512,18.84,0.6,2.64,3.52,0.074,-1.72,1.6,-0.16,1.06
"Kenny Carr",7,4,12.1777777777778,7.97777777777778,1.47777777777778,0.744444444444444,0.377777777777778,14.4666666666667,0.554555555555556,19.3444444444444,1.7,1.78888888888889,3.5,0.0932222222222222,-0.766666666666667,-0.788888888888889,-1.58888888888889,0.377777777777778
"Ben Poquette",6,2,7.06666666666667,5.63333333333333,1.38333333333333,0.616666666666667,1.01666666666667,12.0166666666667,0.527833333333333,12.9666666666667,1.71666666666667,1.76666666666667,3.48333333333333,0.0905,-1.35,0.583333333333333,-0.75,0.633333333333333
"Tim McCormick",5,5,10,5.84285714285714,1.28571428571429,0.357142857142857,0.4,12.7714285714286,0.575428571428571,16.3714285714286,2.05714285714286,1.42857142857143,3.47142857142857,0.0962857142857143,-1.18571428571429,-0.7,-1.88571428571429,0.114285714285714
"James Edwards",9,5,13.8,5.66,1.59,0.31,0.75,14.66,0.5464,22.73,1.87,1.49,3.45,0.0937,-1,-0.72,-1.68,0.23
"John Lucas",8,5,10.8875,2.25,7.0875,1.275,0.05,15.8375,0.5085,19.125,2.0375,1.5125,3.45,0.101875,1.75,-0.275,1.4625,1.425
"Kent Benson",6,1,9.71666666666667,6.26666666666667,1.88333333333333,0.866666666666667,0.85,13.85,0.536833333333333,15.9,1.46666666666667,2.01666666666667,3.43333333333333,0.104666666666667,-0.533333333333333,0.833333333333333,0.3,0.95
"Johnny Dawkins",4,2,13.65,2.85,6.35,1.35,0.025,15.25,0.52425,20.425,2.4,1,3.425,0.07575,0.625,-1.125,-0.525,0.875
"Sly Williams",4,2,12.825,4.8,2.475,1.225,0.2,16.575,0.534,23.475,1.525,1.9,3.4,0.10475,0.8,0.4,1.225,1.3
"Mickey Johnson",6,4,12.8875,6.15,3.0125,1.05,0.575,15.675,0.515125,23.725,1.0875,2.2625,3.3625,0.096,-0.2625,0.4125,0.125,0.9125
"Sam Bowie",4,2,11.275,8.15,2.125,0.575,2.175,15.2,0.5265,18.075,1.25,1.9,3.325,0.09725,-0.575,1.125,0.575,0.95
"Johnny Davis",6,4,11.7571428571429,1.71428571428571,4.61428571428571,0.8,0.114285714285714,14.8142857142857,0.514714285714286,21.3285714285714,2.15714285714286,1.17142857142857,3.31428571428571,0.0867142857142857,0.571428571428572,-0.985714285714286,-0.428571428571429,0.714285714285714
"Don Buse",4,3,6.125,1.725,3.55,1.375,0.1,13.425,0.4955,13.85,1.575,1.675,3.25,0.107,-0.275,1.675,1.4,1.3
"Mark West",5,3,8.34285714285714,6.35714285714286,0.628571428571429,0.485714285714286,1.71428571428571,12.4285714285714,0.588142857142857,15.1285714285714,0.957142857142857,2.01428571428571,3.24285714285714,0.0862857142857143,-2.5,0.971428571428571,-1.54285714285714,0.357142857142857
