"Player","Pos","Age","Tm","G","MP","PTS","TRB","AST","STL","BLK","TOV","FG%","3P%","2P%","eFG%","FT%","Season","PER","TS%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"Bill Cartwright","C",23,"NYK",82,35.7,20.1,7.5,1.4,0.6,1,2.4,0.554,NA,0.554,0.554,0.788,"1980-1981",18.4,0.611,21.5,6.9,3.1,10,0.164,1.6,-0.5,1.1,2.3
"Harvey Catchings","PF",29,"MIL",77,21.2,4.2,6.1,1.3,0.4,2.4,1.4,0.447,NA,0.447,0.447,0.641,"1980-1981",10.4,0.48,10.7,0,3.2,3.1,0.092,-3,2.9,-0.1,0.8
"Maurice Cheeks*","PG",24,"PHI",81,29.8,9.4,3,6.9,2.4,0.5,2.1,0.534,0.375,0.536,0.536,0.787,"1980-1981",16.4,0.579,13.9,4,4.5,8.5,0.169,0.9,3.1,4,3.7
"Jim Chones","PF",31,"LAL",82,31.2,10.8,8,1.9,0.5,1.2,1.9,0.503,NA,0.506,0.503,0.653,"1980-1981",11.8,0.528,15.6,1.5,3.2,4.7,0.088,-2,-0.1,-2.1,-0.1
"Don Collins","SF",22,"TOT",81,22.8,11.5,3.3,2.3,1.3,0.3,2.1,0.444,0,0.447,0.444,0.776,"1980-1981",14.5,0.5,24.6,0.6,2,2.6,0.068,-0.9,0.5,-0.5,0.7
"Don Collins","SF",22,"ATL",47,25.2,12.7,4,2.4,1.5,0.2,2.3,0.434,0,0.436,0.434,0.846,"1980-1981",15,0.496,24.8,0.7,1,1.8,0.072,-0.5,-0.1,-0.6,0.4
"Don Collins","SF",22,"WSB",34,19.4,9.8,2.4,2.2,1,0.4,2,0.463,0,0.468,0.463,0.673,"1980-1981",13.6,0.507,24.1,-0.1,0.9,0.8,0.062,-1.7,1.5,-0.2,0.3
"Darwin Cook","SG",22,"NJN",81,24.4,11.2,2.9,3.7,1.7,0.4,2.2,0.468,0.24,0.475,0.471,0.733,"1980-1981",15,0.503,21.4,0.6,2.1,2.7,0.065,-0.2,1.1,0.9,1.4
"Jeff Cook","SF",24,"PHO",79,27.7,8.5,5.9,2.5,1,0.7,1.8,0.464,0,0.468,0.464,0.645,"1980-1981",11.2,0.491,14.8,0.6,3.8,4.5,0.098,-1.5,1.2,-0.3,1
"Michael Cooper","SG",24,"LAL",81,32.4,9.4,4.1,4.1,1.6,1,2,0.491,0.211,0.499,0.494,0.785,"1980-1981",12.2,0.53,13.5,2,3,5,0.092,-0.6,1.5,0.9,1.9
"Wayne Cooper","C",24,"UTA",71,20,6.9,6.2,0.7,0.3,0.7,1.1,0.452,NA,0.453,0.453,0.689,"1980-1981",12.2,0.479,17.8,0.5,1,1.5,0.051,-2.5,-2,-4.5,-0.9
"Dave Corzine","C",24,"SAS",82,23.9,10.5,7.8,1.4,0.5,1.2,1.6,0.49,NA,0.492,0.49,0.714,"1980-1981",16.5,0.52,19.3,2.6,2.5,5.1,0.125,0.3,-0.7,-0.4,0.8
"Charlie Criss","PG",32,"ATL",66,25.9,9.5,1.5,4.3,0.9,0,2,0.454,0.048,0.472,0.455,0.864,"1980-1981",13,0.54,17.3,1.8,0.7,2.5,0.07,0.1,-1.2,-1.2,0.4
"Bob Dandridge*","SF",33,"WSB",23,23.7,10,3.6,2.6,0.7,0.4,1.4,0.426,NA,0.428,0.426,0.718,"1980-1981",11.6,0.452,21.2,-0.2,0.7,0.5,0.044,-2.2,0.8,-1.4,0.1
"Adrian Dantley*","SF",25,"UTA",80,42.7,30.7,6.4,4,1.4,0.2,3.5,0.559,0.286,0.56,0.559,0.806,"1980-1981",24.3,0.622,28.4,12.3,1.3,13.6,0.191,5.7,-1.4,4.3,5.4
"Brad Davis","PG",25,"DAL",56,30.1,11.2,2.7,6.9,0.9,0.2,2.2,0.561,0.176,0.578,0.565,0.799,"1980-1981",16.4,0.626,15.4,3.8,0.4,4.2,0.119,1.4,-0.9,0.5,1.1
"Johnny Davis","PG",25,"IND",76,33.4,14.4,2.2,6.3,1.3,0.2,2.2,0.465,0.121,0.477,0.467,0.796,"1980-1981",15.2,0.522,19.2,4.1,1.6,5.7,0.107,0.7,-1,-0.3,1.1
"Walter Davis","SG",26,"PHO",78,28,18,2.6,3.9,1.2,0.2,2.8,0.539,0.412,0.541,0.542,0.836,"1980-1981",18.4,0.579,25.6,4,3.2,7.1,0.157,1.8,0.1,1.9,2.1
"Darryl Dawkins","C",24,"PHI",76,27.5,14,7.2,1.4,0.5,1.5,2.9,0.607,NA,0.607,0.607,0.72,"1980-1981",15.9,0.641,20.3,2.2,4.1,6.3,0.145,-1.3,1.3,0.1,1.1
"Coby Dietrick","C",32,"CHI",82,15.2,4.5,3.2,1.4,0.6,0.6,1.1,0.456,0.333,0.459,0.459,0.694,"1980-1981",11.8,0.503,15,0.5,1.5,2.1,0.08,-1.3,1.5,0.2,0.7
"Leon Douglas","C",26,"KCK",79,17.2,6,4.9,0.9,0.3,0.5,1.1,0.573,NA,0.578,0.573,0.548,"1980-1981",12.5,0.583,15.1,1.6,1.6,3.2,0.112,-2.1,-0.3,-2.5,-0.2
"John Drew","SF",26,"ATL",67,31,21.7,5.7,1.2,1.5,0.2,2.9,0.456,0,0.459,0.456,0.787,"1980-1981",19.2,0.539,30.9,3.5,1.9,5.4,0.124,1,-1.3,-0.3,0.9
"Larry Drew","PG",22,"DET",76,20.8,6.6,1.6,3.3,1.2,0.1,2.2,0.407,0.235,0.413,0.411,0.797,"1980-1981",9.3,0.464,18.1,-1.6,1.6,0,-0.001,-3.5,-0.2,-3.7,-0.7
